filename,channels,width,height,class,xmin,ymin,xmax,ymax
2010_000001.jpg,3,333,500,cat,123,13,341,313
2010_000001.jpg,3,333,500,chair,294,13,410,236
2010_000001.jpg,3,333,500,chair,418,198,500,290
2010_000001.jpg,3,333,500,chair,362,1,498,80
2010_000001.jpg,3,333,500,diningtable,1,219,500,333
2010_000001.jpg,3,333,500,diningtable,1,1,234,188
2010_000002.jpg,3,430,500,sheep,102,46,411,400
2010_000003.jpg,3,375,500,dog,160,156,344,307
2010_000003.jpg,3,375,500,chair,17,52,455,375
2010_000009.jpg,3,333,500,cat,160,30,345,312
2010_000014.jpg,3,375,500,dog,74,25,394,359
2010_000015.jpg,3,375,500,pottedplant,284,121,430,301
2010_000015.jpg,3,375,500,pottedplant,207,235,316,345
2010_000015.jpg,3,375,500,pottedplant,106,215,211,318
2010_000015.jpg,3,375,500,pottedplant,91,43,263,195
2010_000015.jpg,3,375,500,chair,342,32,500,375
2010_000015.jpg,3,375,500,chair,404,192,500,375
2010_000018.jpg,3,375,500,sofa,137,147,500,375
2010_000018.jpg,3,375,500,chair,1,154,132,374
2010_000018.jpg,3,375,500,person,147,163,394,375
2010_000020.jpg,3,500,333,dog,85,207,211,489
2010_000020.jpg,3,500,333,person,177,222,333,500
2010_000020.jpg,3,500,333,person,1,6,209,500
2010_000020.jpg,3,500,333,person,58,1,333,500
2010_000023.jpg,3,375,500,bird,168,66,322,341
2010_000024.jpg,3,333,500,boat,168,72,461,234
2010_000024.jpg,3,333,500,boat,1,160,169,235
2010_000026.jpg,3,375,500,dog,119,12,425,375
2010_000027.jpg,3,500,375,motorbike,3,68,351,474
2010_000027.jpg,3,500,375,motorbike,1,109,76,265
2010_000027.jpg,3,500,375,pottedplant,298,153,375,245
2010_000027.jpg,3,500,375,pottedplant,162,137,242,184
2010_000031.jpg,3,500,382,car,131,2,230,56
2010_000031.jpg,3,500,382,car,18,34,240,194
2010_000031.jpg,3,500,382,car,4,230,276,500
2010_000033.jpg,3,333,500,dog,83,9,377,306
2010_000035.jpg,3,319,500,car,301,1,500,163
2010_000035.jpg,3,319,500,car,1,1,134,160
2010_000035.jpg,3,319,500,motorbike,14,6,486,317
2010_000036.jpg,3,375,500,car,33,93,450,318
2010_000038.jpg,3,476,500,horse,49,124,466,380
2010_000038.jpg,3,476,500,person,161,47,287,216
